rcv_voting,newwhite,age,newedu,employed,married,democrat,republican,electoral_winner,interesting,mobilization,city_satisfaction
0,0.8265,60.54,3.624,0.5419,0.5255,0.535,0.1431,0.8725,0.5337,0.6982,3.687
1,0.8265,60.54,3.624,0.5419,0.5255,0.535,0.1431,0.8725,0.5337,0.6982,3.687
